file_name,unique_id,target,vulnerable_line_numbers,project,cve,source_signature_path,commit_hash,dataset_type,processed_func
autotrace-20200219.65/11.json#trace5,15,1,"119,125,128,169,186,202,255,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/11.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  rowbytes = ((Bitmap_Head.biWidth * Bitmap_Head.biBitCnt - 1) / 32) * 4 + 4;
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  XMALLOC(buffer, rowbytes);"
autotrace-20200219.65/11.json#trace6,16,1,"119,125,127,128,169,186,202,255,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/11.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  rowbytes = ((Bitmap_Head.biWidth * Bitmap_Head.biBitCnt - 1) / 32) * 4 + 4;
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  XMALLOC(buffer, rowbytes);"
autotrace-20200219.65/11.json#trace7,17,1,"119,125,126,128,169,186,202,255,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/11.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  rowbytes = ((Bitmap_Head.biWidth * Bitmap_Head.biBitCnt - 1) / 32) * 4 + 4;
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  XMALLOC(buffer, rowbytes);"
autotrace-20200219.65/11.json#trace8,18,1,"119,125,126,127,128,169,186,202,255,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/11.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  rowbytes = ((Bitmap_Head.biWidth * Bitmap_Head.biBitCnt - 1) / 32) * 4 + 4;
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  XMALLOC(buffer, rowbytes);"
autotrace-20200219.65/11.json#trace9,19,1,"119,125,174,186,202,255,416",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/11.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
  return (puffer[0] | puffer[1] << 8 | puffer[2] << 16 | puffer[3] << 24);
  if ((Bitmap_Head.biHeight == 0 || Bitmap_Head.biWidth == 0)
  rowbytes = ((Bitmap_Head.biWidth * Bitmap_Head.biBitCnt - 1) / 32) * 4 + 4;
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  XMALLOC(buffer, rowbytes);"
autotrace-20200219.65/12.json#trace1,20,1,"119,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace2,21,1,"119,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace3,22,1,"119,127,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace4,23,1,"119,127,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace5,24,1,"119,126,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace6,25,1,"119,126,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace7,26,1,"119,126,127,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace8,27,1,"119,126,127,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace9,28,1,"119,125,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace10,29,1,"119,125,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace11,30,1,"119,125,127,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
autotrace-20200219.65/12.json#trace12,31,1,"119,125,127,128,169,202,243,337,395,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/12.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  if (bpp >= 16) {              /* color image */
                *temp = (unsigned char)((buffer[1] & (((1 << bpp) - 1) << (8 - (i * bpp)))) >> (8 - (i * bpp)));
    XMALLOC(image, width * height * 3 * sizeof(unsigned char));"
